q	coefficient_language	prefilter_from_depth37_nested_survivors	survivors	newly_pruned_at_depth38	arbitrary_words	arbitrary_classes	candidate_collision_excess
24	257978502	209704242	209249761	454481	9669554100	4360503767	267
25	562258222	458291343	458015704	275639	5414950296	2885150570	641
26	516979732	423515692	423434881	80811	2707475148	1623464700	41
27	327863544	270407638	270385523	22115	1203322288	787846737	0
28	166102992	138122125	138116125	6000	472733756	331434551	0
29	69676006	58508209	58506760	1449	163011640	120808764	0
30	24490183	20802040	20801602	438	48903492	37974631	0
31	7218548	6213132	6213007	125	12620256	10205940	0
32	1769581	1546287	1546241	46	2760681	2315140	0
33	355205	315730	315730	0	501942	435189	0
34	56973	51611	51611	0	73815	66014	0
35	7030	6505	6505	0	8436	7771	0
36	627	595	594	1	703	667	0
37	36	36	36	0	38	38	0
38	1	1	1	0	1	1	0
TOTAL	1934757182	1587485186	1586644081	841105			

cumulative_Hensel_removed_through_depth38	348113101
