q	coefficient_language	prefilter_from_depth38_nested_survivors	survivors	newly_pruned_at_depth39	arbitrary_words	arbitrary_classes	candidate_collision_excess
25	820236724	667265465	666424520	840945	15084504396	7233515628	2523
26	1079237954	881450585	881128353	322232	8122425444	4505748160	947
27	844843276	693820404	693728857	91547	3910797436	2410645040	46
28	493966536	408501648	408477182	24466	1676056044	1119129107	0
29	235778998	196622885	196616403	6482	635745396	452209115	0
30	94166189	79308362	79306830	1532	211915132	158775891	0
31	31708731	27014609	27014148	461	61523748	48178863	0
32	8988129	7759248	7759117	131	15380937	12520696	0
33	2124786	1861971	1861923	48	3262623	2750244	0
34	412178	367341	367341	0	575757	501195	0
35	64003	58116	58116	0	82251	73783	0
36	7657	7099	7099	0	9139	8437	0
37	663	630	629	1	741	704	0
38	37	37	37	0	39	39	0
39	1	1	1	0	1	1	0
TOTAL	3611535862	2964038401	2962750556	1287845			

cumulative_Hensel_removed_through_depth39	648785306
