q	prefilter	survivors	newly_pruned	min_credit	max_credit
21	10924522	10907449	17073	2	127
22	21578098	21566825	11273	2	71
23	17588380	17584670	3710	2	47
24	10362570	10361536	1034	2	15
25	4788525	4788202	323	2	6
26	1798903	1798808	95	2	6
27	551707	551671	36	3	3
28	136784	136784	0	0	0
29	26841	26841	0	0	0
30	4025	4025	0	0	0
31	435	434	1	1	1
32	31	31	0	0	0
33	1	1	0	0	0
TOTAL	67760822	67727277	33545	1	127

full_coefficient_language	82694966
cumulative_Hensel_removed	14967689
packed_checkpoint_states	67727277
packed_checkpoint_sha256	e8696c1f6b9cc027f7d782d288c9cc054a051bae918ee89caf15453fec154941
