q	prefilter	survivors	newly_pruned	min_credit	max_credit
21	10933870	10924522	9348	2	71
22	10656854	10653576	3278	2	47
23	6935755	6934804	951	2	15
24	3428066	3427766	300	2	6
25	1360848	1360759	89	2	6
26	438178	438144	34	3	3
27	113563	113563	0	0	0
28	23221	23221	0	0	0
29	3620	3620	0	0	0
30	406	405	1	1	1
31	30	30	0	0	0
32	1	1	0	0	0
TOTAL	33894412	33880411	14001	1	71

full_coefficient_language	41347483
cumulative_Hensel_removed	7467072
packed_checkpoint_states	33880411
packed_checkpoint_sha256	35093b29775e538c99ba692851c4fe6112e86437ddbdae9ad4ea177cd4698013
