metric	value
artifact_recursive64_pieces	2491
reconstructed_continuity_edges	47
reconstructed_components	2444
reconstructed_total_mass	215291123464
reconstructed_max_multiplicity	116786684442
recursive256_cap	840980952
recursive256_total_pieces	2666
recursive256_full_cap_prefixes	222
recursive256_terminal_remainders	2444
recursive256_split_source_records	26
recursive256_max_pieces_from_one_source	139
largest_source_full_cap_prefixes	138
largest_source_terminal_remainder	731313066
illustrative_lpt_min_mass	840980944
illustrative_lpt_max_mass	840980952
illustrative_lpt_mass_spread	8
illustrative_lpt_min_pieces_per_subshard	1
illustrative_lpt_max_pieces_per_subshard	74
status	SIDE_SUPPORT_ONLY
