q	coefficient_language	prefilter_from_depth39_nested_survivors	survivors	newly_pruned_at_depth40	arbitrary_words
26	1899474678	1547552873	1546488816	1064057	23206929840
27	1924081230	1574857210	1574486076	371134	12033222880
28	1338809812	1102206039	1102103404	102635	5586853480
29	729745534	605093585	605066710	26875	2311801440
30	329945187	275923233	275916261	6972	847660528
31	125874920	106320978	106319363	1615	273438880
32	40696860	34773265	34772781	484	76904685
33	11112915	9621040	9620903	137	18643560
34	2536964	2229264	2229214	50	3838380
35	476181	425457	425457	0	658008
36	71660	65215	65215	0	91390
37	8320	7728	7728	0	9880
38	700	666	665	1	780
39	38	38	38	0	40
40	1	1	1	0	1
TOTAL	6402835000	5259076592	5257502632	1573960	

cumulative_Hensel_removed_through_depth40	1145332368
q26_arbitrary_classes	11726349348
q26_candidate_collision_excess	6623
q27_arbitrary_classes	6913364174
q27_candidate_collision_excess	1233
