k,channels,bounded,unbounded,nonzero_lower
0,1,0,1,1
1,1,0,1,1
2,1,0,1,0
3,2,0,2,0
4,3,0,3,0
5,4,0,4,0
6,8,0,8,0
7,13,0,13,0
8,19,0,19,0
9,38,0,38,0
10,64,0,64,0
11,128,0,128,0
12,226,0,226,0
13,367,0,367,0
14,734,0,734,0
15,1295,0,1295,0
16,2114,0,2114,0
17,4228,0,4228,0
18,7495,0,7495,0
19,14990,0,14990,0
20,27328,0,27328,0
21,46611,0,46611,0
22,93222,0,93222,0
23,168807,0,168807,0
24,286581,0,286581,0
