metric	value
r	11
total_cells	1013
cost_safe	119
singleton_resolution	414
critical	480
branch_nodes	3994436
negative_ap_cylinders	605972
represented_occurrences	3419719061560
max_multiplicity	51905193085
occupied_multiplicity_intervals	343
m_ge_1000_cylinders	241328
m_ge_1000_occurrences	3419677356627
m_ge_10000_cylinders	149504
m_ge_10000_occurrences	3419293778624
m_ge_100000_cylinders	77418
m_ge_100000_occurrences	3416001689360
m_ge_1000000_cylinders	36170
m_ge_1000000_occurrences	3397436981913
m_ge_10000000_cylinders	13697
m_ge_10000000_occurrences	3307517564955
m_ge_100000000_cylinders	3789
m_ge_100000000_occurrences	2970493671360
m_ge_1000000000_cylinders	564
m_ge_1000000000_occurrences	2001769706501
m_ge_10000000000_cylinders	28
m_ge_10000000000_occurrences	574823013486
proposed_shards	256
min_shard_cylinders	2367
max_shard_cylinders	2368
max_shard_occurrences	61047101694
status	EXACT_FINITE_WORKLOAD_AUDIT_R11_OPEN
