d	verified_depths	observed_new_pruning_law	forward_depth41_observed	status
0	32-40	0		FINITE_EXACT_INTERVAL
1	32-40	0		FINITE_EXACT_INTERVAL
2	32-41	1	1	FORWARD_CHECKED
3	32-41	0	0	FORWARD_CHECKED
4	32-41	0	0	FORWARD_CHECKED
5	32-41	0	0	FORWARD_CHECKED
6	32-41	2*k-30	52	FORWARD_CHECKED_AND_MOTIF_EXTRACTED
7	32-41	6*k-103	143	FORWARD_CHECKED
8	32-40	23*k-436		FINITE_EXACT_INTERVAL_ONLY
9	32-40	83*k-1705		FINITE_EXACT_INTERVAL_ONLY
10	33-40	4*k^2+174*k-6388		EVENTUAL_POLYNOMIAL_CANDIDATE;K32=3278_NOT_3272
11	32-40	no_simple_low_degree_fit		UNRESOLVED
12	33-40	no_simple_low_degree_fit		BOUNDARY_AFFECTED_UNRESOLVED

# depth35-40 boundary-distance aggregation
# s = q-q_min(k) = d_max(k)-d
s	prefilter_sum	newly_pruned_sum	share_of_all_new_pruning	pruning_rate
0	2777546167	2750297	0.639883	0.000990
1	3368921573	1115309	0.259488	0.000331
2	2547732131	317008	0.073755	0.000124
3	1466042887	85242	0.019832	0.000058
4	692920487	22472	0.005228	0.000032
5	275017251	5510	0.001282	0.000020
6	92269674	1655	0.000385	0.000018
7	26110671	479	0.000111	0.000018

# aggregate depth35-40 newly pruned = 4298122
# share s<=1 = 0.8993709346
# share s<=2 = 0.9731259373
