q	prefilter_from_depth35_nested_survivors	survivors	newly_pruned_at_depth36
25	110150906	110133317	17589
26	64820158	64815098	5060
27	30670758	30669475	1283
28	11975361	11974969	392
29	3890690	3890577	113
30	1046493	1046451	42
31	229816	229816	0
32	40248	40248	0
33	5418	5418	0
34	528	527	1
35	34	34	0
36	1	1	0
TOTAL_QGE25	222830411	222805931	24480
FULL_DEPTH36_PREFILTER	432934920		
REMAINING_Q23_Q24_PREFILTER	210104509		
