sample	original_shard	piece_id	occurrences	wall_seconds	closure_leaves	resource_splits	max_depth	max_state	status
MATH161-sub34	18	34	3363923805	443.493	77	76	416	998685	PASS
MATH164-shard3-micro4	3	4	3363923805	298.106	128	127	421	827676	PASS
MATH168-shard4-micro4	4	4	3363923805	339.922484	64	63	475	998817	PASS
MATH168-shard5-micro4	5	4	3363923805	404.675691	64	63	430	880156	PASS
MATH168-shard4-micro3	4	3	3363923805	435.020778	64	63	571	998817	PASS
MATH168-shard5-micro3	5	3	3363923805	208.326559	64	63	456	880140	PASS
MATH168-shard4-micro6	4	6	3363923805	240.819767	64	63	433	998797	PASS
MATH168-shard5-micro6	5	6	3363923805	398.356334	64	63	486	925697	PASS
