q	prefilter	arbitrary_classes	survivors	newly_pruned
28	3038795	5315745	3038688	107
29	852042	1337403	852002	40
30	194491	277659	194491	0
31	35325	46348	35325	0
32	4923	5985	4923	0
33	496	562	495	1
34	33	35	33	0
35	1	1	1	0
TOTAL_QGE28	4126106	6983738	4125958	148
FULL_DEPTH35_PREFILTER	216540217			
REMAINING_Q23_Q27_PREFILTER	212414111			
