K	cost_over_3pow72	reduced_numerator	reduced_denominator	decimal	N	address_top11	positive_slack_events	priority_queue_pops	status
195	13499932259244517478077673760620544	15933097776587900715008	26588814358957503287787	0.599240626584020691	2444527107741509901307	1060	32:21:1;46:30:1;62:40:1;70:45:1;71:46:1	428990	EXACT_MINIMUM
265	18595722531780565314164200933687296	371679957014806528	450283905890997363	0.825434691651584558	3066081888322772163579	1329	29:19:1;30:20:1;32:21:1;48:31:1;54:35:1;56:36:1	6817234	EXACT_MINIMUM
300	19321032402118245891140942013923328	7601122052464791519232	8862938119652501095929	0.857630048844662025	2875391792319435791355	1247	32:21:1;33:22:1;35:23:1;54:35:1;59:38:1;65:42:1;70:45:1	9221016	EXACT_MINIMUM

# V(K) is the minimum first-72 slack penalty among first-cell ordinary starts whose same-integer shortcut trajectory remains coefficient-valid through depth K.
# penalty = cost_over_3pow72 / 3^72.
# queue-pop counts are implementation diagnostics only, not mathematical invariants.
# These are finite exact minima for K=195,265,300; no asymptotic interpolation is asserted.
