shard	pieces	mass	max_m	max_m_share	max_m_step_exp	le_1m	singletons	dmax	sum_leaf_bound	min_exp	max_exp
47	136	3363923802	3302008528	0.981594329229	24	122	15	12	4300	24	46
48	141	3363923802	2967744074	0.882226901880	24	122	15	12	4750	24	46
49	141	3363923802	2927799333	0.870352453067	24	122	15	12	4886	24	47
50	143	3363923802	2651689217	0.788272675922	23	122	15	12	5206	23	47
51	143	3363923802	2506313579	0.745056584668	24	121	15	12	5517	23	47
52	144	3363923802	2413275072	0.717398851474	21	123	15	12	5465	21	47
53	144	3363923802	1956745795	0.581685528619	25	122	15	11	4110	25	47
54	145	3363923802	1852748015	0.550769911583	25	122	15	11	4502	24	47
55	145	3363923802	1442715937	0.428878899142	23	121	15	11	4955	23	47
56	146	3363923802	1441810919	0.428609862727	25	123	16	11	5007	25	47
57	146	3363923802	1304497197	0.387790352512	25	123	16	11	5143	25	47
58	146	3363923802	1304497196	0.387790352214	25	122	16	11	5148	25	48
59	145	3363923801	1281609706	0.380986544826	25	121	15	11	4695	24	48
60	145	3363923801	1235165343	0.367179941065	25	122	15	11	4750	25	48
61	145	3363923801	1159553064	0.344702535668	25	122	15	11	4926	24	49
62	145	3363923801	1100669510	0.327198110038	25	121	15	11	5947	25	46
63	144	3363923801	1100669509	0.327198109741	25	122	15	11	5942	25	46
