k	d	q	D_terminal_dominated	peak_subset_states	viability_memo_states	derived_R	check
39	10	29	39162595	337	82384		PARENT
39	11	28	85489354	1049	159764		PARENT
39	12	27	151114419	3211	283637		PARENT
39	13	26	198109601	9184	470690		PARENT
39	14	25	153812204	20903	735111		PARENT
40	10	30	54028926	337	87775	6972	MATCH_MATH050
40	11	29	124678824	1049	172237	26875	MATCH_MATH050
40	12	28	236706408	3225	311671	102635	MATCH_MATH050
40	13	27	349595154	9550	531998	371134	MATCH_MATH050
40	14	26	352985862	25440	869941	1064057	MATCH_MATH050
40	15	25	0	1	0		COEFFICIENT_INVALID
41	10	31	73591953	337	93166	7470	MATCH_PRIOR_PARTIAL
41	11	30	178737092	1049	184710	29342	MATCH_PRIOR_PARTIAL
41	12	29	361499293	3227	339746	114061	NEW_EXACT
41	13	28	586723760	9835	594017	422198	NEW_EXACT
41	14	27	703863494	28455	1000342	1282478	NEW_EXACT
41	15	26	355002462	44095	1352979	2016600	NEW_EXACT

# R(k,d)=D(k,d)-D(k-1,d)-D(k-1,d-1).
# MATH-050 central regression checks:
# R(40,11)=26875, R(40,12)=102635, R(40,13)=371134, R(40,14)=1064057.
# All four match the canonical depth-40 ledger exactly.
