q	coefficient_language	prefilter_from_depth35_nested_survivors	survivors	newly_pruned_at_depth36
23	87986917	71519838	71408693	111145
24	169991585	138584671	138524197	60474
25	134288135	110150906	110133317	17589
26	78411877	64820158	64815098	5060
27	36751655	30670758	30669475	1283
28	14187805	11975361	11974969	392
29	4548741	3890690	3890577	113
30	1204896	1046493	1046451	42
31	260015	229816	229816	0
32	44655	40248	40248	0
33	5880	5418	5418	0
34	558	528	527	1
35	34	34	34	0
36	1	1	1	0
TOTAL	527682754	432934920	432738821	196099

cumulative_Hensel_removed_through_depth36	94943933
