q	prefilter	distinct_candidate_classes	survivors	newly_pruned	candidate_class_collisions	min_credit	max_credit
22	32474274	32474270	32432663	41611	4	2	287
23	39151495	39151495	39138196	13299	0	2	71
24	27946206	27946206	27942054	4152	0	2	47
25	15149738	15149738	15148621	1117	0	2	15
26	6587010	6587010	6586664	346	0	2	6
27	2350479	2350479	2350378	101	0	2	6
28	688455	688455	688417	38	0	3	3
29	163625	163625	163625	0	0	0	0
30	30866	30866	30866	0	0	0	0
31	4459	4459	4459	0	0	0	0
32	465	465	464	1	0	1	1
33	32	32	32	0	0	0	0
34	1	1	1	0	0	0	0
TOTAL	124547105	124547101	124486440	60665	4	1	287

full_coefficient_language	151917636
cumulative_Hensel_removed	27431196
