metric	value
artifact_id	10321272221
artifact_sha256	48ab3950d866925468d7745dca078ebf65adb50c65b82c4583e1e38ea1796b81
split_source_pieces	605977
total_occurrence_mass	3419719061560
observed_max_source_value	6290339729165775182359
frozen_YMAX	6290339729182995389049
best_tested_depth	22
q_safe_12_pieces	27420
q_safe_13_pieces	578557
safe_words_q_le_12_of_2pow22	3096514
safe_words_q_le_13_of_2pow22	3593934
guaranteed_safe_occurrence_mass	2811463801368
uncertified_tail_occurrence_mass	608255260192
guaranteed_safe_fraction_percent	82.21329737202075
status	EXACT_CONSERVATIVE_SAFE_MASS_AUDIT_NO_R11_CLOSURE_CLAIM
