q	coefficient_language	prefilter_from_depth34_nested_survivors	survivors	newly_pruned_at_depth35
23	87986917	71570859	71519838	51021
24	82004668	67080250	67064833	15417
25	52283467	43090675	43086073	4602
26	26128410	21735285	21734085	1200
27	10623245	8937042	8936673	369
28	3564560	3038795	3038688	107
29	984181	852042	852002	40
30	220715	194491	194491	0
31	39300	35325	35325	0
32	5355	4923	4923	0
33	525	496	495	1
34	33	33	33	0
35	1	1	1	0
TOTAL	263841377	216540217	216467460	72757

cumulative_Hensel_removed_through_depth35	47373917
