r	total	safe	singleton	critical	branch_nodes	negative_ap_cylinders	represented_occurrences	max_multiplicity	occupied_multiplicity_intervals	u64_engine_compatible
10	994	91	396	507	1994258	278725	27557263803397	830483089363	376	1
9	977	72	349	556	915218	141002	172107496438700	3381256733001	400	1
8	977	60	330	587	436659	65811	1281026785265013	67269130238384	444	1
7	963	42	291	630	201298	29342	8499072326407060	807229562860607	473	1
6	963	34	250	679	95577	15133	53251059016858758	3228918251442427	517	1
5	952	20	226	706	46721	6525	407471475426308081	51662692023078828	551	1
4	944	14	172	758	23058	3675	1845330088960999169	227070381217324903	580	1
3	944	9	152	783	12133	1873	13093636650601823230	1816563049738599228	627	1
2	939	3	104	832	6218	1116	74283701945452943666	21350398233904928148	662	0
