layer	piece_cap	max_exact_half_bisections	max_mass_after_bound	state_cap
r12	4534939598	13	553582	1000000
r11	26716555169	15	815325	1000000
r10	215291123465	18	821271	1000000
r9	1344589815928	21	641151	1000000
r8	10008021759883	24	596525	1000000
r7	66399002550056	26	989423	1000000
r6	416023898569210	29	774905	1000000
r5	3183370901768032	32	741187	1000000
r4	14416641320007807	34	839159	1000000
r3	102294036332826744	37	744288	1000000
r2	580341421448851123	40	527818	1000000
