metric	value
total_phase_address_cells	1035
cost_safe_cells	157
singleton_resolution_cells	483
critical_cells	395
branch_nodes	15364524
negative_ap_cylinders	1959535
represented_occurrences	76391629325
max_multiplicity	687142557
occupied_multiplicity_intervals	276
m_ge_1000_cylinders	305062
m_ge_1000_occurrences	76263230955
m_ge_10000_cylinders	123925
m_ge_10000_occurrences	75633800228
m_ge_100000_cylinders	36955
m_ge_100000_occurrences	72481494807
m_ge_1000000_cylinders	8414
m_ge_1000000_occurrences	62567007204
m_ge_10000000_cylinders	1130
m_ge_10000000_occurrences	41355402672
m_ge_100000000_cylinders	65
m_ge_100000000_occurrences	14620369241
status	OPEN_REPRESENTATION_AUDIT
