q	coefficient_language	prefilter_from_depth40_nested_survivors	survivors	newly_pruned_at_depth41	arbitrary_words
26	1899474678	1546488816	1544472216	2016600	63432274896
27	3823555908	3120974892	3119692414	1282478	35240152720
28	3262891042	2676589480	2676167282	422198	17620076360
29	2068555346	1707170114	1707056053	114061	7898654920
30	1059690721	880982971	880953629	29342	3159461968
31	455820107	382235624	382228154	7470	1121099408
32	166571780	141092144	141090446	1698	350343565
33	51809775	44393684	44393177	507	95548245
34	13649879	11850117	11849974	143	22481940
35	3013145	2654671	2654619	52	4496388
36	547841	490672	490672	0	749398
37	79980	72943	72943	0	101270
38	9020	8393	8393	0	10660
39	738	703	702	1	820
40	39	39	39	0	41
41	1	1	1	0	1
TOTAL	12805670000	10515005264	10511130714	3874550	128945452600

cumulative_Hensel_removed_through_depth41	2294539286
