depth,crossing_candidates,min_H,max_theta_num,max_theta_den,arg_r
4,1,2,5,21,3
5,2,2,23,55,11
7,3,4,73,329,7
8,7,2,251,507,39
10,12,164,989,102365,347
12,30,214,2707,440979,231
13,85,74,9937,337617,207
15,173,100,23395,1661795,127
16,476,68,100609,2328833,359
18,961,330,179707,43433467,511
20,2652,234,911873,123595265,239
21,8045,74,2355187,79949811,159
23,17637,548,10532861,4020287485,1115
24,51033,78,32900023,687211447,283
26,108950,708,89045857,23845583713,991
# total_candidates=190067
# crossing_failures=0
