metric	value
r	11
depth	39
profiles	35
crossing_patterns	23
new_address_support	1204202538
increment_s22_s30	1728319859
increment_s31	7817016
increment_s32	3304186
increment_s33	1251748
increment_s34	479533
increment_s35	217933
increment_s36	76561
increment_s37	25722
increment_s38	8549
increment_s39	2857
increment_s40	1053
increment_s41	423
increment_s42	156
increment_s43	82
increment_s44	32
increment_s45	11
increment_s46	4
increment_s47	1
increment_s48	0
increment_s49	0
increment_s50	0
increment_s51	0
increment_s52	0
increment_s53	0
exact_D39_increment	1741505726
cumulative_safe_mass	3350963514708
uncertified_tail_mass	68755546852
safe_fraction_percent	97.98943873416796
status	EXACT_FINITE_SAFE_SUBSET_NOT_R11_CLOSED
