q	coefficient_language	prefilter_from_depth36_nested_survivors	survivors	newly_pruned_at_depth37
24	257978502	209932890	209704242	228648
25	304279720	248657514	248587101	70413
26	212700012	174948415	174928591	19824
27	115163532	95484573	95479047	5526
28	50939460	42644444	42643078	1366
29	18736546	15865546	15865131	415
30	5753637	4937028	4936909	119
31	1464911	1276267	1276223	44
32	304670	270064	270064	0
33	50535	45666	45666	0
34	6438	5945	5945	0
35	592	561	560	1
36	35	35	35	0
37	1	1	1	0
TOTAL	967378591	794068949	793742593	326356

cumulative_Hensel_removed_through_depth37	173635998
