shard	cylinders	occurrences	status
0	122471	5048626294	PARTITION_CERTIFIED
1	122471	5298930548	PARTITION_CERTIFIED
2	122471	5249353797	PARTITION_CERTIFIED
3	122471	5215416462	PARTITION_CERTIFIED
4	122471	4690598587	PARTITION_CERTIFIED
5	122471	4670357603	PARTITION_CERTIFIED
6	122471	4689123219	PARTITION_CERTIFIED
7	122471	4677944192	PARTITION_CERTIFIED
8	122471	4684278800	PARTITION_CERTIFIED
9	122471	4682948575	PARTITION_CERTIFIED
10	122471	4642685701	PARTITION_CERTIFIED
11	122471	4569572194	PARTITION_CERTIFIED
12	122471	4555876662	PARTITION_CERTIFIED
13	122471	4544118955	PARTITION_CERTIFIED
14	122471	4585835702	PARTITION_CERTIFIED
15	122470	4585962034	PARTITION_CERTIFIED
TOTAL	1959535	76391629325	PASS_DISJOINT_EXHAUSTIVE_PARTITION
