metric	value
original_shard	0
original_shard_mass	215291123465
micro_count_total	64
micro_partition_large_count	9
micro_partition_large_mass	3363923805
micro_partition_small_count	55
micro_partition_small_mass	3363923804
successful_micro_indices	0-63
successful_micro_count	64
successful_exact_mass	215291123465
successful_mass_fraction_percent	100
observed_failures	0
pilot_run	34947502210
pilot_head_sha	32c85842c7c92d3e3a3b5fbd4a356c4f0cddc4f4
certify_job	104336460767
certify_job_conclusion	success
status	ORIGINAL_SHARD0_EXACTLY_CLOSED_NO_R10_LAYER_CLOSURE_CLAIM
