metric	value
r	12
total_cells	1013
cost_safe	126
singleton_resolution	457
critical	430
branch_nodes	8278602
negative_ap_cylinders	1053555
represented_occurrences	580472268528
max_multiplicity	12976298271
occupied_multiplicity_intervals	305
m_ge_1000_cylinders	271732
m_ge_1000_occurrences	580373566138
m_ge_10000_cylinders	145303
m_ge_10000_occurrences	579804318984
m_ge_100000_cylinders	65979
m_ge_100000_occurrences	576712999139
m_ge_1000000_cylinders	24175
m_ge_1000000_occurrences	562035216524
m_ge_10000000_cylinders	6347
m_ge_10000000_occurrences	507000843603
m_ge_100000000_cylinders	1118
m_ge_100000000_occurrences	368990167363
m_ge_1000000000_cylinders	75
m_ge_1000000000_occurrences	141078443336
status	EXACT_FINITE_WORKLOAD_AUDIT_R12_OPEN
