metric	value
shards	128
total_pieces	278739
total_mass	27557263803397
min_shard_mass	215291123463
max_shard_mass	215291123465
mass_spread	2
min_pieces_per_shard	1
max_pieces_per_shard	2448
median_pieces_per_shard	2445
mean_pieces_per_shard	2177.6484375
cap_sized_pieces	14
single_piece_cap_shards	14
single_piece_shard_range	0..13
cap	215291123465
distinct_odd_step_classes	36
min_step_exponent	19
max_step_exponent	54
most_common_step_exponent	43
most_common_step_piece_count	20748
second_step_exponent	42
second_step_piece_count	20163
third_step_exponent	44
third_step_piece_count	20095
classification	EXACT_RESOURCE_GEOMETRY_AUDIT_NO_CLOSURE_CLAIM
